company,sector,city,state,ceo_woman
Walmart,Retailing,Bentonville,AR,no
Amazon,Retailing,Seattle,WA,no
Apple,Technology,Cupertino,CA,no
CVS Health,Health Care,Woonsocket,RI,yes
UnitedHealth Group,Health Care,Minnetonka,MN,no
Exxon Mobil,Energy,Irving,TX,no
Berkshire Hathaway,Financials,Omaha,NE,no
Alphabet,Technology,Mountain View,CA,no
McKesson,Health Care,Irving,TX,no
AmerisourceBergen,Health Care,Conshohocken,PA,no
Costco Wholesale,Retailing,Issaquah,WA,no
Cigna,Health Care,Bloomfield,CT,no
AT&T,Telecommunications,Dallas,TX,no
Microsoft,Technology,Redmond,WA,no
Cardinal Health,Health Care,Dublin,OH,no
Chevron,Energy,San Ramon,CA,no
Home Depot,Retailing,Atlanta,GA,no
Walgreens Boots Alliance,Food & Drug Stores,Deerfield,IL,yes
Marathon Petroleum,Energy,Findlay,OH,no
Elevance Health,Health Care,Indianapolis,IN,yes
Kroger,Food & Drug Stores,Cincinnati,OH,no
Ford Motor,Motor Vehicles & Parts,Dearborn,MI,no
Verizon Communications,Telecommunications,New York,NY,no
JPMorgan Chase,Financials,New York,NY,no
General Motors,Motor Vehicles & Parts,Detroit,MI,yes
Centene,Health Care,St. Louis,MO,yes
Meta Platforms,Technology,Menlo Park,CA,no
Comcast,Telecommunications,Philadelphia,PA,no
Phillips 66,Energy,Houston,TX,no
Valero Energy,Energy,San Antonio,TX,no
Dell Technologies,Technology,Round Rock,TX,no
Target,Retailing,Minneapolis,MN,no
Fannie Mae,Financials,Washington,DC,no
United Parcel Service,Transportation,Atlanta,GA,yes
Lowe's,Retailing,Mooresville,NC,no
Bank of America,Financials,Charlotte,NC,no
Johnson & Johnson,Health Care,New Brunswick,NJ,no
Archer Daniels Midland,"Food, Beverages & Tobacco",Chicago,IL,no
FedEx,Transportation,Memphis,TN,no
Humana,Health Care,Louisville,KY,no
Wells Fargo,Financials,San Francisco,CA,no
State Farm Insurance,Financials,Bloomington,IL,no
Pfizer,Health Care,New York,NY,no
Citigroup,Financials,New York,NY,yes
PepsiCo,"Food, Beverages & Tobacco",Purchase,NY,no
Intel,Technology,Santa Clara,CA,no
Procter & Gamble,Household Products,Cincinnati,OH,no
General Electric,Industrials,Boston,MA,no
IBM,Technology,Armonk,NY,no
MetLife,Financials,New York,NY,no
Prudential Financial,Financials,Newark,NJ,no
Albertsons,Food & Drug Stores,Boise,ID,no
Walt Disney,Media,Burbank,CA,no
Energy Transfer,Energy,Dallas,TX,no
Lockheed Martin,Aerospace & Defense,Bethesda,MD,no
Freddie Mac,Financials,McLean,VA,no
Goldman Sachs Group,Financials,New York,NY,no
Raytheon Technologies,Aerospace & Defense,Waltham,MA,no
HP,Technology,Palo Alto,CA,no
Boeing,Aerospace & Defense,Chicago,IL,no
Morgan Stanley,Financials,New York,NY,no
HCA Healthcare,Health Care,Nashville,TN,no
AbbVie,Health Care,North Chicago,IL,no
Dow,Chemicals,Midland,MI,no
Tesla,Motor Vehicles & Parts,Austin,TX,no
Allstate,Financials,Northbrook,IL,no
American International Group,Financials,New York,NY,no
Best Buy,Retailing,Richfield,MN,yes
Charter Communications,Telecommunications,Stamford,CT,no
Sysco,Wholesalers,Houston,TX,no
Merck,Health Care,Kenilworth,NJ,no
New York Life Insurance,Financials,New York,NY,no
Caterpillar,Industrials,Deerfield,IL,no
Cisco Systems,Technology,San Jose,CA,no
