"Company","Revenue_2021","Revenue%change_2021","Profits_in_millions_2021","Market_value_2021","Employees_2021","Revenue_2022","Revenue%change_2022","Profits_in_millions_2022","Market_value_2022","Employees_2022","Sector","City","State","Ceo_woman","lat","long"
"Walmart","559151","0.067","13510","382642.8",2300000,"572754","2.4","13673","409795",2300000,"Retailing","Bentonville","AR","no","36.372853800000000","-94.208817200000000"
"Amazon","386064","0.376","21331","1558069.6",1298000,"469822","21.7","33364","1658807.3",1608000,"Retailing","Seattle","WA","no","47.603832100000000","-122.330062000000000"
"Apple","274515","0.055","57411","2050665.9",147000,"365817","33.3","94680","2849537.6",154000,"Technology","Cupertino","CA","no","37.322893400000000","-122.032289500000000"
"CVS Health","268706","0.046","7179","98653.2",256500,"292111","8.7","7910","132839.2",258000,"Health Care","Woonsocket","RI","yes","42.002876100000000","-71.514783900000000"
"UnitedHealth Group","257141","0.062","15403","351725",330000,"287597","11.8","17285","479830.3",350000,"Health Care","Minnetonka","MN","no","44.940508600000000","-93.463893600000000"
"Exxon Mobil","181502","-0.315","-22440","236355.4",72000,"285640","57.4","23040","349652.4",63000,"Energy","Irving","TX","no","32.829518300000000","-96.944217700000000"
"Berkshire Hathaway","245510","-0.036","42521","587823",360000,"276094","12.5","89795","779542.3",372000,"Financials","Omaha","NE","no","41.258745900000000","-95.938375800000000"
"Alphabet","182527","0.128","40269","1392561.8",135301,"257637","41.2","76033","1842326.1",156500,"Technology","Mountain View","CA","no","49.133333000000000","-113.600000000000000"
"McKesson","231051","0.078","900","31044",70000,"238228","3.1","-4539","45857.8",67500,"Health Care","Irving","TX","no","32.829518300000000","-96.944217700000000"
"AmerisourceBergen","189893.9","0.057","-3408.7","24169.7",21500,"213988.8","12.7","1539.9","32355.7",40000,"Health Care","Conshohocken","PA","no","40.079276600000000","-75.301571400000000"
"Costco Wholesale","166761","0.092","4002","155984.3",214500,"195929","17.5","5007","255230.7",288000,"Retailing","Issaquah","WA","no","47.534877800000000","-122.043297400000000"
"Cigna","160401","0.045","8458","83976.1",72963,"174078","8.5","5365","76286.3",72963,"Health Care","Bloomfield","CT","no","41.826488000000000","-72.730094500000000"
"AT&T","171760","-0.052","-5176","215878.5",230760,"168864","-1.7","20081","169262.4",202600,"Telecommunications","Dallas","TX","no","32.776271900000000","-96.796855900000000"
"Microsoft","143015","0.136","44281","1778228.2",163000,"168088","17.5","61271","2311358.9",181000,"Technology","Redmond","WA","no","47.669414100000000","-122.123876700000000"
"Cardinal Health","152922","0.051","-3696","17840.3",48000,"162467","6.2","611","15709.4",46827,"Health Care","Dublin","OH","no","40.099229400000000","-83.114077100000000"
"Chevron","94692","-0.354","-5543","201865",47736,"162465","71.6","15625","317120.1",42595,"Energy","San Ramon","CA","no","37.764802100000000","-121.954438700000000"
"Home Depot","132110","0.199","12866","328775.4",504800,"151157","14.4","16433","309312.6",490600,"Retailing","Atlanta","GA","no","33.748992400000000","-84.390264400000000"
"Walgreens Boots Alliance","139537","0.02","456","47455.3",277000,"148579","6.5","2542","38671.1",258500,"Food & Drug Stores","Deerfield","IL","yes","42.171136500000000","-87.844511900000000"
"Marathon Petroleum","88952","-0.287","-9826","34873.8",57900,"141032","58.5","9738","47758.1",17700,"Energy","Findlay","OH","no","41.041387300000000","-83.650398200000000"
"Kroger","132498","0.084","2585","27064.3",465000,"137888","4.1","1655","41496.2",420000,"Food & Drug Stores","Cincinnati","OH","no","39.101453700000000","-84.512460200000000"
"Ford Motor","127144","-0.184","-1279","48739",186000,"136341","7.2","17937","67958.2",183000,"Motor Vehicles & Parts","Dearborn","MI","no","42.322259900000000","-83.176314500000000"
"Verizon Communications","128292","-0.027","17801","240633.3",132200,"133613","4.1","22065","213837.1",118400,"Telecommunications","New York","NY","no","40.712728100000000","-74.006015200000000"
"JPMorgan Chase","129503","-0.091","29131","464530.8",255351,"127202","-1.8","48334","402526.9",271025,"Financials","New York","NY","no","40.712728100000000","-74.006015200000000"
"General Motors","122485","-0.107","6427","82794.9",155000,"127004","3.7","10019","63555.2",157000,"Motor Vehicles & Parts","Detroit","MI","yes","42.331550900000000","-83.046640300000000"
"Centene","111115","0.489","1808","37169.6",71300,"125982","13.4","1347","49072.2",72500,"Health Care","St. Louis","MO","yes","38.628027800000000","-90.191015400000000"
"Meta Platforms","85965","0.216","29146","838724.2",58604,"117929","37.2","39370","605251",71970,"Technology","Menlo Park","CA","no","37.451967100000000","-122.177992000000000"
"Comcast","103564","-0.049","10534","247859.3",168000,"116385","12.4","14159","212245.8",189000,"Telecommunications","Philadelphia","PA","no","39.952723700000000","-75.163526200000000"
"Phillips 66","65494","-0.402","-3975","35703.6",14300,"114852","75.4","1317","41561",14000,"Energy","Houston","TX","no","29.758938200000000","-95.367697400000000"
"Valero Energy","60115","-0.415","-1421","29267.2",9964,"108332","80.2","930","41572.2",9804,"Energy","San Antonio","TX","no","29.424600200000000","-98.495140500000000"
"Dell Technologies","94224","0.022","3250","67229.1",158000,"106995","13.6","5563","38164.4",133000,"Technology","Round Rock","TX","no","30.508591500000000","-97.678805600000000"
"Target","93561","0.198","4368","98760.9",409000,"106005","13.3","6946","98134.4",450000,"Retailing","Minneapolis","MN","no","44.977299500000000","-93.265469200000000"
"Fannie Mae","106437","-0.115","11805","2397.2",7700,"101543","-4.6","22176","909.1",7400,"Financials","Washington","DC","no","38.895036800000000","-77.036542700000000"
"Lowe's","89597","0.242","5835","136407.9",280000,"96250","7.4","8442","133761.1",270000,"Retailing","Mooresville","NC","no","35.584859600000000","-80.810072400000000"
"Bank of America","93753","-0.175","17894","333788.4",212505,"93851","0.1","31978","332433.3",208248,"Financials","Charlotte","NC","no","35.227208600000000","-80.843082700000000"
"Johnson & Johnson","82584","0.006","14714","432685.3",134500,"93775","13.6","20878","466046.7",141700,"Health Care","New Brunswick","NJ","no","40.486217400000000","-74.451817300000000"
"FedEx","69217","-0.007","1286","75367.8",418000,"83959","21.3","5231","59971.3",484000,"Transportation","Memphis","TN","no","35.146024900000000","-90.051763800000000"
"Humana","77155","0.189","3367","54087.7",48700,"83064","7.7","2933","55154.9",95500,"Health Care","Louisville","KY","no","38.254237600000000","-85.759407000000000"
"Wells Fargo","80303","-0.227","3301","161521",268531,"82407","2.6","21548","184225",247848,"Financials","San Francisco","CA","no","37.779026200000000","-122.419906000000000"
"Pfizer","41908","-0.19","9616","202096.9",78500,"81288","94","21979","292385.3",79000,"Health Care","New York","NY","no","40.712728100000000","-74.006015200000000"
"Citigroup","88839","-0.141","11047","151806.4",210153,"79865","-10.1","21952","105330.1",221768,"Financials","New York","NY","yes","40.712728100000000","-74.006015200000000"
"PepsiCo","70372","0.048","7120","195207.7",291000,"79474","12.9","7618","231528.2",309000,"Food, Beverages & Tobacco","Purchase","NY","no","41.040930500000000","-73.714574600000000"
"Intel","77867","0.082","20899","260630.1",110600,"79024","1.5","19868","202635.8",121100,"Technology","Santa Clara","CA","no","37.354113200000000","-121.955174000000000"
"Procter & Gamble","70950","0.048","13027","333493.1",99000,"76118","7.3","14306","366271.6",101000,"Household Products","Cincinnati","OH","no","39.101453700000000","-84.512460200000000"
"General Electric","79619","-0.164","5704","115342.5",184000,"74196","-6.8","-6520","100810.2",168000,"Industrials","Boston","MA","no","42.355433400000000","-71.060511000000000"
"MetLife","67842","-0.026","5407","53762.6",46500,"71080","4.8","6554","57986.5",43000,"Financials","New York","NY","no","40.712728100000000","-74.006015200000000"
"Prudential Financial","57033","-0.12","-374","36022.4",41671,"70934","24.4","7724","44482.2",40916,"Financials","Newark","NJ","no","40.735657000000000","-74.172366700000000"
"Albertsons","62455.1","0.032","466.4","8877.7",270000,"69690.4","11.6","850.2","16063.7",300000,"Food & Drug Stores","Boise","ID","no","43.616616300000000","-116.200886000000000"
"Walt Disney","65388","-0.06","-2864","334952.5",203000,"67418","3.1","1995","249718.1",171000,"Media","Burbank","CA","no","34.181208900000000","-118.307201000000000"
"Energy Transfer","38954","-0.281","-648","20754.7",11421,"67417","73.1","5470","34496.9",12558,"Energy","Dallas","TX","no","32.776271900000000","-96.796855900000000"
"Lockheed Martin","65398","0.093","6833","102984.2",114000,"67044","2.5","6315","117648.2",114000,"Aerospace & Defense","Bethesda","MD","no","38.981409300000000","-77.117853800000000"
"Freddie Mac","66228","-0.118","7326","1332.6",6922,"65898","-0.5","12109","510.3",7301,"Financials","McLean","VA","no","38.934288800000000","-77.177632700000000"
"Goldman Sachs Group","53498","-0.008","9459","116903",40500,"64989","21.5","21635","117667.6",43900,"Financials","New York","NY","no","40.712728100000000","-74.006015200000000"
