Name,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021
Walmart,559151.0,0.067,13510.0,382642.8,2300000
Amazon,386064.0,0.376,21331.0,1558069.6,1298000
Apple,274515.0,0.055,57411.0,2050665.9,147000
CVS Health,268706.0,0.046,7179.0,98653.2,256500
UnitedHealth Group,257141.0,0.062,15403.0,351725.0,330000
Exxon Mobil,181502.0,-0.315,-22440.0,236355.4,72000
Berkshire Hathaway,245510.0,-0.036,42521.0,587823.0,360000
Alphabet,182527.0,0.128,40269.0,1392561.8,135301
McKesson,231051.0,0.078,900.0,31044.0,70000
AmerisourceBergen,189893.9,0.057,-3408.7,24169.7,21500
Costco Wholesale,166761.0,0.092,4002.0,155984.3,214500
Cigna,160401.0,0.045,8458.0,83976.1,72963
AT&T,171760.0,-0.052,-5176.0,215878.5,230760
Microsoft,143015.0,0.136,44281.0,1778228.2,163000
Cardinal Health,152922.0,0.051,-3696.0,17840.3,48000
Chevron,94692.0,-0.354,-5543.0,201865.0,47736
Home Depot,132110.0,0.199,12866.0,328775.4,504800
Walgreens Boots Alliance,139537.0,0.02,456.0,47455.3,277000
Marathon Petroleum,88952.0,-0.287,-9826.0,34873.8,57900
Anthem,121867.0,0.169,4572.0,87908.9,83400
Kroger,132498.0,0.084,2585.0,27064.3,465000
Ford Motor,127144.0,-0.184,-1279.0,48739.0,186000
Verizon Communications,128292.0,-0.027,17801.0,240633.3,132200
JPMorgan Chase,129503.0,-0.091,29131.0,464530.8,255351
General Motors,122485.0,-0.107,6427.0,82794.9,155000
Centene,111115.0,0.489,1808.0,37169.6,71300
Meta Platforms,85965.0,0.216,29146.0,838724.2,58604
Comcast,103564.0,-0.049,10534.0,247859.3,168000
Phillips 66,65494.0,-0.402,-3975.0,35703.6,14300
Valero Energy,60115.0,-0.415,-1421.0,29267.2,9964
Dell Technologies,94224.0,0.022,3250.0,67229.1,158000
Target,93561.0,0.198,4368.0,98760.9,409000
Fannie Mae,106437.0,-0.115,11805.0,2397.2,7700
Lowe's,89597.0,0.242,5835.0,136407.9,280000
Bank of America,93753.0,-0.175,17894.0,333788.4,212505
Johnson & Johnson,82584.0,0.006,14714.0,432685.3,134500
FedEx,69217.0,-0.007,1286.0,75367.8,418000
Humana,77155.0,0.189,3367.0,54087.7,48700
Wells Fargo,80303.0,-0.227,3301.0,161521.0,268531
Pfizer,41908.0,-0.19,9616.0,202096.9,78500
Citigroup,88839.0,-0.141,11047.0,151806.4,210153
PepsiCo,70372.0,0.048,7120.0,195207.7,291000
Intel,77867.0,0.082,20899.0,260630.1,110600
Procter & Gamble,70950.0,0.048,13027.0,333493.1,99000
General Electric,79619.0,-0.164,5704.0,115342.5,184000
MetLife,67842.0,-0.026,5407.0,53762.6,46500
Prudential Financial,57033.0,-0.12,-374.0,36022.4,41671
Albertsons,62455.1,0.032,466.4,8877.7,270000
Walt Disney,65388.0,-0.06,-2864.0,334952.5,203000
Energy Transfer,38954.0,-0.281,-648.0,20754.7,11421
Lockheed Martin,65398.0,0.093,6833.0,102984.2,114000
Freddie Mac,66228.0,-0.118,7326.0,1332.6,6922
Goldman Sachs Group,53498.0,-0.008,9459.0,116903.0,40500
Raytheon Technologies,56587.0,-0.266,-3519.0,117143.9,181000
HP,56639.0,-0.036,2844.0,39579.5,53000
Boeing,58158.0,-0.24,-11873.0,148664.8,141000
Morgan Stanley,52047.0,-0.033,10996.0,146161.9,68097
HCA Healthcare,51533.0,0.004,3754.0,63458.7,235000
AbbVie,45804.0,0.377,4616.0,190989.4,47000
Dow,38542.0,-0.103,1225.0,47649.7,35700
Tesla,31536.0,0.283,721.0,641115.0,70757
Allstate,44791.0,0.003,5576.0,34800.2,42010
Best Buy,47262.0,0.083,1798.0,28707.7,81600
Charter Communications,48097.0,0.051,3222.0,128965.7,96100
Sysco,52893.3,-0.12,215.5,40189.8,57000
Merck,47994.0,0.025,7067.0,195062.0,73500
Caterpillar,41748.0,-0.224,2998.0,126439.6,97300
Cisco Systems,49301.0,-0.05,11214.0,218308.5,77500
TJX,32137.0,-0.23,90.5,79774.9,320000
ConocoPhillips,19256.0,-0.475,-2701.0,71623.4,9700
Progressive,42658.1,0.093,5704.6,55946.5,43326
Tyson Foods,43185.0,0.018,2061.0,27099.6,139000
Bristol-Myers Squibb,42518.0,0.626,-9015.0,141027.9,30250
Nike,37403.0,-0.044,2539.0,209499.8,75400
Deere,35540.0,-0.095,2751.0,117270.0,69634
American Express,38185.0,-0.188,3135.0,113635.8,63700
Abbott Laboratories,34608.0,0.085,4495.0,212300.1,109000
Plains GP Holdings,23290.0,-0.308,-568.0,1824.5,4400
Enterprise Products Partners,27199.7,-0.17,3775.6,48038.8,7130
Oracle,39068.0,-0.011,10135.0,202337.7,135000
Thermo Fisher Scientific,32218.0,0.261,6375.0,179719.4,84362
Coca-Cola,33014.0,-0.114,7747.0,227143.8,80300
General Dynamics,37925.0,-0.036,3167.0,51481.9,100700
Nucor,20139.7,-0.108,721.5,23975.7,26400
Exelon,33039.0,-0.041,1963.0,42723.5,32340
Northrop Grumman,36799.0,0.087,3189.0,53956.7,97000
3M,32184.0,0.001,5384.0,111642.1,94987
Travelers,31981.0,0.013,2697.0,37933.0,30294
Arrow Electronics,28673.4,-0.008,584.4,8267.5,19600
Honeywell International,32637.0,-0.111,4779.0,150972.4,103000
Dollar General,33746.8,0.216,2655.1,48479.7,158000
Qualcomm,23531.0,-0.031,5198.0,150622.2,41000
Capital One Financial,31643.0,-0.063,2714.0,58097.0,51985
TD Synnex,24675.6,0.039,529.2,5874.5,277900
Philip Morris International,28694.0,-0.037,8056.0,138302.4,71000
World Fuel Services,20358.3,-0.447,109.6,2222.0,4300
Performance Food Group,25086.3,0.271,-114.1,7705.3,20000
Delta Air Lines,17095.0,-0.636,-12385.0,30809.7,74000
American Airlines Group,17337.0,-0.621,-8885.0,15328.8,102700
Netflix,24996.1,0.24,2761.4,231040.7,9400
US Foods Holding,22885.0,-0.118,-226.0,8427.5,26000
Danaher,22284.0,0.086,3646.0,160497.2,69000
Jabil,27266.4,0.078,53.9,7833.2,240000
Starbucks,23518.0,-0.113,928.3,128643.6,349000
Mondelez International,26581.0,0.028,3555.0,82651.1,79000
Eli Lilly,24539.8,0.099,6193.7,179158.9,35000
Hewlett Packard Enterprise,26982.0,-0.074,-322.0,20480.0,59400
D.R. Horton,20311.1,0.155,2373.7,32413.1,9716
Molina Healthcare,19423.0,0.154,673.0,13647.3,10500
CBRE Group,23826.2,-0.003,752.0,26549.1,100000
Micron Technology,21435.0,-0.084,2687.0,98678.0,40000
Broadcom,23888.0,0.057,2960.0,189313.5,21000
Gilead Sciences,24689.0,0.1,123.0,81372.8,13600
PBF Energy,15115.9,-0.383,-1392.4,1699.5,3729
Lennar,22488.9,0.01,2465.0,30893.2,9495
United Natural Foods,26742.8,0.139,-274.1,1854.4,28300
NRG Energy,9093.0,-0.079,510.0,9232.1,4104
Nvidia,16675.0,0.527,4332.0,331036.6,18975
Occidental Petroleum,16680.0,-0.241,-14831.0,24848.7,11800
Salesforce,21252.0,0.243,4072.0,195132.3,56606
Dollar Tree,25509.3,0.08,1341.9,26717.4,129772
KKR,9629.7,0.056,2002.5,42352.6,1583
Kraft Heinz,26185.0,0.048,356.0,48924.7,38000
Amgen,25424.0,0.088,7264.0,143704.3,24300
AutoNation,20390.0,-0.044,381.6,7683.2,21600
Penske Automotive Group,20443.9,-0.118,543.6,6485.5,23600
PayPal Holdings,21454.0,0.207,4202.0,284408.3,26500
Macy's,18097.0,-0.286,-3944.0,5028.1,75711
Duke Energy,23453.0,-0.049,1377.0,74252.5,27535
United Airlines Holdings,15355.0,-0.645,-7069.0,18325.1,74400
Visa,21846.0,-0.049,10866.0,452525.4,20500
Rite Aid,21928.4,0.012,-452.2,1129.9,39920
Cummins,19811.0,-0.16,1789.0,37971.1,57825
U.S. Bancorp,25241.0,-0.076,4959.0,83107.4,68108
Paccar,18728.5,-0.268,1298.4,32255.8,26000
McDonald's,19207.8,-0.089,4730.5,167112.5,200000
Southern,20375.0,-0.049,3119.0,65678.9,27700
C.H. Robinson Worldwide,16207.1,0.059,506.4,12514.9,14888
Truist Financial,24427.0,0.666,4482.0,78408.5,53638
Applied Materials,17202.0,0.178,3619.0,122599.5,24000
Freeport-McMoRan,14198.0,-0.014,599.0,48027.8,24500
Lithia Motors,13124.3,0.036,470.3,10467.0,14538
Hartford Financial Services Group,20523.0,-0.01,1737.0,23863.3,18500
Aflac,22147.0,-0.007,4778.0,35191.4,12003
Whirlpool,19456.0,-0.047,1081.0,13831.7,78000
Union Pacific,19533.0,-0.1,5349.0,146948.3,30960
International Paper,20580.0,-0.08,482.0,21240.6,49300
Altria Group,20841.0,0.053,4467.0,95090.6,7100
CDW,18467.5,0.024,788.5,23291.8,10000
ManpowerGroup,18001.0,-0.137,23.8,5434.2,25000
PG&E,18469.0,0.078,-1318.0,23240.6,24000
Baker Hughes,20705.0,-0.131,-9940.0,22494.8,55000
Cleveland-Cliffs,5354.0,1.691,-122.0,10033.0,25000
United States Steel,9741.0,-0.247,-1165.0,7034.0,23350
Becton Dickinson,17117.0,-0.01,874.0,70649.7,72000
CarMax,21424.1,0.119,888.4,21562.7,27050
Sherwin-Williams,18361.7,0.026,2030.4,65837.3,61031
