Name,Revenue_2022,Revenue(% change)_2022,Profits in millions_2022,Market value_2022,Employees_2022,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021,Sector,City,State,Ceo_woman
Walmart,572754.0,2.4,13673.0,409795.0,"2,300,000",559151.0,0.067,13510.0,382642.8,2300000,Retailing,Bentonville,AR,no
Amazon,469822.0,21.7,33364.0,1658807.3,"1,608,000",386064.0,0.376,21331.0,1558069.6,1298000,Retailing,Seattle,WA,no
Apple,365817.0,33.3,94680.0,2849537.6,"154,000",274515.0,0.055,57411.0,2050665.9,147000,Technology,Cupertino,CA,no
CVS Health,292111.0,8.7,7910.0,132839.2,"258,000",268706.0,0.046,7179.0,98653.2,256500,Health Care,Woonsocket,RI,yes
UnitedHealth Group,287597.0,11.8,17285.0,479830.3,"350,000",257141.0,0.062,15403.0,351725.0,330000,Health Care,Minnetonka,MN,no
Exxon Mobil,285640.0,57.4,23040.0,349652.4,"63,000",181502.0,-0.315,-22440.0,236355.4,72000,Energy,Irving,TX,no
Berkshire Hathaway,276094.0,12.5,89795.0,779542.3,"372,000",245510.0,-0.036,42521.0,587823.0,360000,Financials,Omaha,NE,no
Alphabet,257637.0,41.2,76033.0,1842326.1,"156,500",182527.0,0.128,40269.0,1392561.8,135301,Technology,Mountain View,CA,no
McKesson,238228.0,3.1,-4539.0,45857.8,"67,500",231051.0,0.078,900.0,31044.0,70000,Health Care,Irving,TX,no
AmerisourceBergen,213988.8,12.7,1539.9,32355.7,"40,000",189893.9,0.057,-3408.7,24169.7,21500,Health Care,Conshohocken,PA,no
Costco Wholesale,195929.0,17.5,5007.0,255230.7,"288,000",166761.0,0.092,4002.0,155984.3,214500,Retailing,Issaquah,WA,no
Cigna,174078.0,8.5,5365.0,76286.3,"72,963",160401.0,0.045,8458.0,83976.1,72963,Health Care,Bloomfield,CT,no
AT&T,168864.0,-1.7,20081.0,169262.4,"202,600",171760.0,-0.052,-5176.0,215878.5,230760,Telecommunications,Dallas,TX,no
Microsoft,168088.0,17.5,61271.0,2311358.9,"181,000",143015.0,0.136,44281.0,1778228.2,163000,Technology,Redmond,WA,no
Cardinal Health,162467.0,6.2,611.0,15709.4,"46,827",152922.0,0.051,-3696.0,17840.3,48000,Health Care,Dublin,OH,no
Chevron,162465.0,71.6,15625.0,317120.1,"42,595",94692.0,-0.354,-5543.0,201865.0,47736,Energy,San Ramon,CA,no
Home Depot,151157.0,14.4,16433.0,309312.6,"490,600",132110.0,0.199,12866.0,328775.4,504800,Retailing,Atlanta,GA,no
Walgreens Boots Alliance,148579.0,6.5,2542.0,38671.1,"258,500",139537.0,0.02,456.0,47455.3,277000,Food & Drug Stores,Deerfield,IL,yes
Marathon Petroleum,141032.0,58.5,9738.0,47758.1,"17,700",88952.0,-0.287,-9826.0,34873.8,57900,Energy,Findlay,OH,no
Kroger,137888.0,4.1,1655.0,41496.2,"420,000",132498.0,0.084,2585.0,27064.3,465000,Food & Drug Stores,Cincinnati,OH,no
Ford Motor,136341.0,7.2,17937.0,67958.2,"183,000",127144.0,-0.184,-1279.0,48739.0,186000,Motor Vehicles & Parts,Dearborn,MI,no
Verizon Communications,133613.0,4.1,22065.0,213837.1,"118,400",128292.0,-0.027,17801.0,240633.3,132200,Telecommunications,New York,NY,no
JPMorgan Chase,127202.0,-1.8,48334.0,402526.9,"271,025",129503.0,-0.091,29131.0,464530.8,255351,Financials,New York,NY,no
General Motors,127004.0,3.7,10019.0,63555.2,"157,000",122485.0,-0.107,6427.0,82794.9,155000,Motor Vehicles & Parts,Detroit,MI,yes
Centene,125982.0,13.4,1347.0,49072.2,"72,500",111115.0,0.489,1808.0,37169.6,71300,Health Care,St. Louis,MO,yes
Meta Platforms,117929.0,37.2,39370.0,605251.0,"71,970",85965.0,0.216,29146.0,838724.2,58604,Technology,Menlo Park,CA,no
